Name,Easting,Northing,Elevation,Date_Obs,Time_Obs,,
MAT06_B3_EXTRA_04,393817.4478,7614308.195,761.417541,6/21/2019,11:59:31 AM,,
MAT06_B3_F0.5_01,393824.5749,7614345.881,759.205686,6/21/2019,11:56:27 AM,,
MAT06_B3_F0.5_02,393826.1553,7614341.171,759.165054,6/21/2019,11:56:41 AM,,
MAT06_B3_F0.5_03,393805.7928,7614339.003,760.884033,6/21/2019,11:56:25 AM,,
MAT06_B3_F0.5_04,393807.4621,7614334.466,761.012472,6/21/2019,11:56:39 AM,,
MAT06_B3_F1_01,393822.2048,7614352.42,759.027876,6/21/2019,11:55:51 AM,,
MAT06_B3_F1_02,393823.8503,7614347.885,759.072403,6/21/2019,11:56:05 AM,,
MAT06_B3_F1_03,393803.3451,7614345.658,761.003855,6/21/2019,11:55:43 AM,,
MAT06_B3_F1_04,393805.072,7614341.038,760.964244,6/21/2019,11:55:58 AM,,
MAT06_B3_F10_01,393831.6659,7614326.156,759.282157,6/21/2019,11:58:38 AM,,
MAT06_B3_F10_02,393833.3115,7614321.524,759.333774,6/21/2019,11:58:55 AM,,
MAT06_B3_F10_03,393813.0219,7614319.411,761.191827,6/21/2019,11:58:41 AM,,
MAT06_B3_F10_04,393814.6895,7614314.817,761.408652,6/21/2019,11:58:57 AM,,
MAT06_B3_F2_01,393812.3647,7614378.703,758.82482,6/21/2019,11:51:35 AM,,
MAT06_B3_F2_02,393814.1332,7614374.026,759.167931,6/21/2019,11:51:49 AM,,
MAT06_B3_F2_03,393793.7945,7614371.973,760.678293,6/21/2019,11:51:30 AM,,
MAT06_B3_F2_04,393795.4371,7614367.304,760.676671,6/21/2019,11:51:50 AM,,
MAT06_B3_F5_01,393826.8832,7614339.328,759.25795,6/21/2019,11:57:09 AM,,
MAT06_B3_F5_02,393828.7052,7614334.481,759.121947,6/21/2019,11:57:22 AM,,
MAT06_B3_F5_03,393808.0912,7614332.577,760.930051,6/21/2019,11:57:19 AM,,
MAT06_B3_F5_04,393809.8223,7614327.911,761.053531,6/21/2019,11:57:32 AM,,
MAT06_B3_GH_01,393818.4985,7614357.855,759.113977,6/21/2019,11:54:33 AM,,
MAT06_B3_GH_02,393811.6053,7614355.009,759.801622,6/21/2019,11:54:52 AM,,
MAT06_B3_GH_03,393813.1026,7614351.511,759.844768,6/21/2019,11:55:06 AM,,
MAT06_B3_GH_04,393819.9905,7614354.222,759.049963,6/21/2019,11:55:22 AM,,
MAT06_B3_H_01,393819.7047,7614358.95,759.1114,6/21/2019,11:53:50 AM,,
MAT06_B3_H_02,393821.4559,7614354.34,758.997691,6/21/2019,11:54:05 AM,,
MAT06_B3_H_03,393800.951,7614352.183,760.948332,6/21/2019,11:53:56 AM,,
